STATE,Year,WUI_Type,%AREA,%HOUSING,AREA_KM,HOUSING
Mississippi,1990.0,Non-WUI,0.8652458296633307,0.5050548136770441,108543.604566735,510319.0
Mississippi,1990.0,WUI (total),0.1347541703366693,0.4949451863229558,16904.67943016053,500104.0
Missouri,1990.0,Interface WUI,0.009850387573455,0.0682074584983418,1778.38686111003,149997.0
Missouri,1990.0,Intermix WUI,0.0472123498961894,0.0988686884671158,8523.70753043002,217425.0
Missouri,1990.0,Non-WUI,0.9429372625303556,0.8329238530345423,170237.69126140798,1831707.0
Missouri,1990.0,WUI (total),0.0570627374696444,0.1670761469654576,10302.094391540048,367422.0
Montana,1990.0,Interface WUI,0.0029516840948123,0.4829505337043651,1124.1204499335302,174420.0
Montana,1990.0,Intermix WUI,0.0054664320606686,0.127978291869142,2081.83798475246,46220.0
Montana,1990.0,Non-WUI,0.991581883844519,0.3890711744264928,377634.40720919,140515.0
Montana,1990.0,WUI (total),0.0084181161554809,0.6109288255735073,3205.95843468599,220640.0
Nebraska,1990.0,Interface WUI,0.0015568762589198,0.1051071643196325,311.88668802106,69436.0
Nebraska,1990.0,Intermix WUI,0.0035197131964839,0.037169572266095,705.0988704760799,24555.0
Nebraska,1990.0,Non-WUI,0.9949234105445964,0.8577232634142723,199311.515974085,566630.0
Nebraska,1990.0,WUI (total),0.0050765894554037,0.1422767365857276,1016.98555849714,93991.0
Nevada,1990.0,Interface WUI,0.0021389593635567,0.2789934818389617,612.548652348638,144758.0
Nevada,1990.0,Intermix WUI,0.0031809196586502,0.0783335710348496,910.942060580084,40644.0
Nevada,1990.0,Non-WUI,0.994680120977793,0.6426729471261887,284853.456313336,333456.0
Nevada,1990.0,WUI (total),0.005319879022207,0.3573270528738113,1523.490712928722,185402.0
New Hampshire,1990.0,Interface WUI,0.0356541359882677,0.3219422747189941,863.4037138773318,162228.0
New Hampshire,1990.0,Intermix WUI,0.3085686546005642,0.4197505874134756,7472.32586020107,211514.0
New Hampshire,1990.0,Non-WUI,0.655777209411168,0.2583071378675303,15880.3589650308,130162.0
New Hampshire,1990.0,WUI (total),0.344222790588832,0.7416928621324697,8335.729574078403,373742.0
New Jersey,1990.0,Interface WUI,0.0959185343555608,0.1476270684906562,2166.03243989898,453999.0
New Jersey,1990.0,Intermix WUI,0.1950424466968169,0.0854271601887289,4404.448728715181,262715.0
New Jersey,1990.0,Non-WUI,0.7090390189476222,0.7669457713206148,16011.5198435125,2358596.0
New Jersey,1990.0,WUI (total),0.2909609810523777,0.2330542286793851,6570.48116861416,716714.0
New Mexico,1990.0,Interface WUI,0.003743002114767,0.3989618041382277,1178.76521978677,252167.0
New Mexico,1990.0,Intermix WUI,0.0118067359369406,0.2256169528745779,3718.23719435387,142603.0
New Mexico,1990.0,Non-WUI,0.9844502619482924,0.3754212429871942,310028.072069853,237288.0
New Mexico,1990.0,WUI (total),0.0155497380517077,0.6245787570128057,4897.00241414064,394770.0
New York,1990.0,Interface WUI,0.0469380537029867,0.1008585849710477,6632.6404699477,728894.0
New York,1990.0,Intermix WUI,0.1795724217540098,0.0951548874889631,25374.7059762807,687674.0
New York,1990.0,Non-WUI,0.7734895245430033,0.8039865275399892,109298.906086472,5810323.0
New York,1990.0,WUI (total),0.2265104754569966,0.1960134724600108,32007.3464462284,1416568.0
North Carolina,1990.0,Interface WUI,0.0444012198504565,0.1757988186046874,6189.06073041991,495435.0
North Carolina,1990.0,Intermix WUI,0.2551178883105845,0.2798782766119992,35560.7370583188,788751.0
North Carolina,1990.0,Non-WUI,0.7004808918389589,0.5443229047833132,97639.6323049543,1534007.0
North Carolina,1990.0,WUI (total),0.299519108161041,0.4556770952166867,41749.79778873871,1284186.0
North Dakota,1990.0,Interface WUI,0.0008266029983573,0.0950568140696243,151.35852106227202,26268.0
North Dakota,1990.0,Intermix WUI,0.0017049105306428,0.0320076717087645,312.184612171021,8845.0
North Dakota,1990.0,Non-WUI,0.9974684864709996,0.872935514221611,182645.544739729,241227.0
North Dakota,1990.0,WUI (total),0.0025315135290002,0.1270644857783889,463.543133233293,35113.0
Ohio,1990.0,Interface WUI,0.0332160659753778,0.0843560474800117,3856.33015537115,368800.0
Ohio,1990.0,Intermix WUI,0.1024159715945263,0.0700507440052425,11890.3243973676,306258.0
Ohio,1990.0,Non-WUI,0.8643679624300957,0.8455932085147457,100351.686479873,3696887.0
Ohio,1990.0,WUI (total),0.1356320375699042,0.1544067914852542,15746.65455273875,675058.0
Oklahoma,1990.0,Interface WUI,0.0137782900476834,0.227149112797094,2494.39254660819,319485.0
Oklahoma,1990.0,Intermix WUI,0.0420681119226381,0.1304992040520469,7615.92218385261,183547.0
Oklahoma,1990.0,Non-WUI,0.9441535980296784,0.642351683150859,170927.57443979802,903467.0
Oklahoma,1990.0,WUI (total),0.0558464019703215,0.357648316849141,10110.3147304608,503032.0
Oregon,1990.0,Interface WUI,0.0093230172714881,0.2310603426535753,2375.49925206744,275786.0
Oregon,1990.0,Intermix WUI,0.020730073021106,0.1090211106707876,5282.01026802132,130124.0
Oregon,1990.0,Non-WUI,0.9699469097074058,0.659918546675637,247141.895317681,787657.0
Oregon,1990.0,WUI (total),0.0300530902925942,0.340081453324363,7657.509520088762,405910.0
Pennsylvania,1990.0,Interface WUI,0.0811310435843917,0.217570380750647,9677.28645319642,1074393.0
Pennsylvania,1990.0,Intermix WUI,0.2203974536356346,0.1331339330193149,26288.941916155,657434.0
Pennsylvania,1990.0,Non-WUI,0.6984715027799736,0.649295686230038,83313.470567717,3206313.0
Pennsylvania,1990.0,WUI (total),0.3015284972200263,0.350704313769962,35966.22836935142,1731827.0
Rhode Island,1990.0,Interface WUI,0.0693848745500443,0.1655514603012263,277.640433289064,68633.0
Rhode Island,1990.0,Intermix WUI,0.281373684036442,0.1030798027845585,1125.90405414184,42734.0
Rhode Island,1990.0,Non-WUI,0.6492414414135135,0.7313687369142151,2597.91022571142,303205.0
Rhode Island,1990.0,WUI (total),0.3507585585864863,0.2686312630857848,1403.544487430904,111367.0
South Carolina,1990.0,Interface WUI,0.036777834565784,0.2439874873170406,3050.37006783111,347476.0
South Carolina,1990.0,Intermix WUI,0.2066057154057078,0.3049548679743426,17135.970552837498,434303.0
South Carolina,1990.0,Non-WUI,0.756616450028508,0.4510576447086167,62754.1071747271,642376.0
South Carolina,1990.0,WUI (total),0.2433835499714919,0.5489423552913834,20186.34062066861,781779.0
South Dakota,1990.0,Interface WUI,0.0010641030692563,0.1818585947010628,212.532959026427,53182.0
South Dakota,1990.0,Intermix WUI,0.0035048456653356,0.065258723276204,700.021681833222,19084.0
South Dakota,1990.0,Non-WUI,0.995431051265408,0.7528826820227332,198817.119266533,220170.0
South Dakota,1990.0,WUI (total),0.0045689487345919,0.2471173179772668,912.554640859649,72266.0
Tennessee,1990.0,Interface WUI,0.0412187712574228,0.1412213910003963,4497.56834293196,286124.0
Tennessee,1990.0,Intermix WUI,0.1502403183297527,0.1740278085571701,16393.4071525781,352592.0
Tennessee,1990.0,Non-WUI,0.8085409104128243,0.6847508004424335,88223.5906530871,1387351.0
Tennessee,1990.0,WUI (total),0.1914590895871755,0.3152491995575664,20890.975495510054,638716.0
Texas,1990.0,Interface WUI,0.0081549694275843,0.1449595013496221,5673.08580784839,1016021.0
Texas,1990.0,Intermix WUI,0.0359055041312859,0.1043915115410916,24978.022017083,731680.0
Texas,1990.0,Non-WUI,0.9559395264411296,0.7506489871092861,665008.8646893831,5261298.0
Texas,1990.0,WUI (total),0.0440604735588703,0.2493510128907137,30651.10782493139,1747701.0
Utah,1990.0,Interface WUI,0.0059548824144309,0.3926181674766205,1309.38972217851,234938.0
Utah,1990.0,Intermix WUI,0.0045401300251501,0.066675802322239,998.306797440546,39898.0
Utah,1990.0,Non-WUI,0.9895049875604188,0.5407060302011403,217577.371068844,323552.0
Utah,1990.0,WUI (total),0.0104950124395811,0.4592939697988596,2307.696519619056,274836.0
Vermont,1990.0,Interface WUI,0.050506230103213,0.339661669382849,1257.77313711254,92121.0
Vermont,1990.0,Intermix WUI,0.1913741350461905,0.3408710464799014,4765.85256328472,92449.0
Vermont,1990.0,Non-WUI,0.7581196348505964,0.3194672841372495,18879.7007712517,86644.0
Vermont,1990.0,WUI (total),0.2418803651494036,0.6805327158627504,6023.6257003972605,184570.0
Virginia,1990.0,Interface WUI,0.054822940448003,0.1855621082755753,6073.62835422444,463225.0
Virginia,1990.0,Intermix WUI,0.1864107437156507,0.1847941821887615,20651.748507310906,461308.0
Virginia,1990.0,Non-WUI,0.7587663158363464,0.629643709535663,84060.8798512907,1571801.0
Virginia,1990.0,WUI (total),0.2412336841636537,0.3703562904643368,26725.37686153534,924533.0
Washington,1990.0,Interface WUI,0.0159272091281538,0.1971178589809572,2941.2414211528603,400618.0
Washington,1990.0,Intermix WUI,0.0454727662170704,0.1282827308699464,8397.35213218433,260719.0
Washington,1990.0,Non-WUI,0.9386000246547757,0.6745994101490963,173329.128047289,1371041.0
Washington,1990.0,WUI (total),0.0613999753452242,0.3254005898509037,11338.593553337188,661337.0
West Virginia,1990.0,Interface WUI,0.0432773481698297,0.5038724169487837,2715.89197828924,393673.0
West Virginia,1990.0,Intermix WUI,0.1859190478074507,0.2872973716713917,11667.4443306912,224464.0
West Virginia,1990.0,Non-WUI,0.7708036040227195,0.2088302113798245,48372.1718989506,163158.0
West Virginia,1990.0,WUI (total),0.2291963959772805,0.7911697886201755,14383.33630898044,618137.0
Wisconsin,1990.0,Interface WUI,0.0145543667574937,0.1024551408524697,2468.9443293326003,210624.0
Wisconsin,1990.0,Intermix WUI,0.0523768679345531,0.110826708072117,8885.00154145391,227834.0
Wisconsin,1990.0,Non-WUI,0.9330687653079532,0.7867181510754132,158282.038330408,1617310.0
Wisconsin,1990.0,WUI (total),0.0669312346920469,0.2132818489245868,11353.945870786512,438458.0
Wyoming,1990.0,Interface WUI,0.0022493452221029,0.6423546415877213,569.818170955279,130662.0
Wyoming,1990.0,Intermix WUI,0.0037944208285904,0.1340438815993235,961.22636718282,27266.0
Wyoming,1990.0,Non-WUI,0.9939562339493065,0.223601476812955,251795.196963623,45483.0
Wyoming,1990.0,WUI (total),0.0060437660506933,0.7763985231870449,1531.0445381380991,157928.0
