STATE,Year,WUI_Type,%AREA,AREA_KM,HOUSING
Arkansas,2020,Interface WUI,0.0283365534442412,3904.28756048945,307307.0
Arkansas,2020,Intermix WUI,0.0867897240551433,11958.1247124347,250613.0
Arkansas,2020,Non-WUI,0.8848737225006152,121920.31307411,807345.0
Arkansas,2020,WUI Total,0.1151262774993846,15862.41227292415,557920.0
California,1990,Interface WUI,0.0179948377085231,7629.18785436209,3035499.0
California,1990,Intermix WUI,0.0380707670137159,16140.6864575234,610537.0
California,1990,Non-WUI,0.9439343952777608,400195.486084145,7536846.0
California,1990,WUI Total,0.0560656047222391,23769.874311885487,3646036.0
California,2000,Interface WUI,0.0181543994068152,7696.83648728391,3539575.0
California,2000,Intermix WUI,0.0417677196811765,17708.0663275504,617646.0
California,2000,Non-WUI,0.940077880912008,398560.457581196,8057328.0
California,2000,WUI Total,0.0599221190879918,25404.902814834317,4157221.0
California,2010,Interface WUI,0.0197505106463494,8373.53236418517,4138836.0
California,2010,Intermix WUI,0.0462913258107845,19625.9186305793,707299.0
California,2010,Non-WUI,0.933958163542866,395965.909401265,8833946.0
California,2010,WUI Total,0.066041836457134,27999.45099476447,4846135.0
California,2020,Interface WUI,0.0202198366647666,8572.51033872659,4384271.0
California,2020,Intermix WUI,0.0453431706237627,19223.933675002103,705126.0
California,2020,Non-WUI,0.9344369927114706,396168.916382298,9302743.0
California,2020,WUI Total,0.0655630072885294,27796.44401372869,5089397.0
Colorado,1990,Interface WUI,0.0064262047077514,1732.53396924656,420542.0
Colorado,1990,Intermix WUI,0.0158204657313232,4265.26939855443,154476.0
Colorado,1990,Non-WUI,0.9777533295609252,263606.737420751,902331.0
Colorado,1990,WUI Total,0.0222466704390747,5997.8033678009915,575018.0
Colorado,2000,Interface WUI,0.0079657008771238,2147.5891270359302,583699.0
Colorado,2000,Intermix WUI,0.0215074027670177,5798.49344655626,176849.0
Colorado,2000,Non-WUI,0.9705268963558584,261658.45821496,1047489.0
Colorado,2000,WUI Total,0.0294731036441415,7946.08257359219,760548.0
Colorado,2010,Interface WUI,0.0095280564742786,2568.8072903552697,759454.0
Colorado,2010,Intermix WUI,0.026005094792824,7011.091639782079,209369.0
Colorado,2010,Non-WUI,0.9644668487328972,260024.641858414,1244075.0
Colorado,2010,WUI Total,0.0355331512671026,9579.89893013735,968823.0
Colorado,2020,Interface WUI,0.0101484087684113,2736.0570857420503,856237.0
Colorado,2020,Intermix WUI,0.0270722231903206,7298.79430135154,224598.0
Colorado,2020,Non-WUI,0.962779368041268,259569.689401457,1410569.0
Colorado,2020,WUI Total,0.0372206319587319,10034.851387093588,1080835.0
Connecticut,1990,Interface WUI,0.0859961540695158,1234.74272271852,343001.0
Connecticut,1990,Intermix WUI,0.4751199566902863,6821.82726994331,291103.0
Connecticut,1990,Non-WUI,0.4388838892401978,6301.54562400172,686746.0
Connecticut,1990,WUI Total,0.5611161107598021,8056.56999266183,634104.0
Connecticut,2000,Interface WUI,0.0809923937775067,1162.89815392778,361598.0
Connecticut,2000,Intermix WUI,0.4954167713135885,7113.25128095465,326073.0
Connecticut,2000,Non-WUI,0.4235908349089048,6081.96618178108,698304.0
Connecticut,2000,WUI Total,0.5764091650910953,8276.149434882429,687671.0
Connecticut,2010,Interface WUI,0.0886114008627798,1272.29273854231,396800.0
Connecticut,2010,Intermix WUI,0.503979481955314,7236.19567034058,352724.0
Connecticut,2010,Non-WUI,0.407409117181906,5849.62720778062,738367.0
Connecticut,2010,WUI Total,0.5925908828180939,8508.488408882891,749524.0
Connecticut,2020,Interface WUI,0.0896581958312872,1287.32274172708,407332.0
Connecticut,2020,Intermix WUI,0.5031492091923607,7224.27451801673,357969.0
Connecticut,2020,Non-WUI,0.407192594976352,5846.5183569197,764896.0
Connecticut,2020,WUI Total,0.5928074050236479,8511.59725974381,765301.0
Conterminous U.S.,1990,Interface WUI,0.0156038030052057,126336.60626918705,17778032.0
Conterminous U.S.,1990,Intermix WUI,0.0559296348659654,452835.77705278125,12212669.0
Conterminous U.S.,1990,Non-WUI,0.9284665621288288,7517354.227981598,71650553.0
Conterminous U.S.,1990,WUI Total,0.0715334378711712,579172.3833219681,29990701.0
Conterminous U.S.,2000,Interface WUI,0.0190069255217925,153890.07828625795,21910181.0
Conterminous U.S.,2000,Intermix WUI,0.0644928575739125,522168.1375861931,13254402.0
Conterminous U.S.,2000,Non-WUI,0.916500216904295,7420468.395431111,80018538.0
Conterminous U.S.,2000,WUI Total,0.083499783095705,676058.2158724512,35164583.0
Conterminous U.S.,2010,Interface WUI,0.0206745779173317,167392.27028514605,26255965.0
Conterminous U.S.,2010,Intermix WUI,0.0724872803575268,586895.1943957394,15108293.0
Conterminous U.S.,2010,Non-WUI,0.9068381417251414,7342239.14662269,89513997.0
Conterminous U.S.,2010,WUI Total,0.0931618582748586,754287.4646808853,41364258.0
Conterminous U.S.,2020,Interface WUI,0.0211233463649635,171025.73596371035,28390711.0
Conterminous U.S.,2020,Intermix WUI,0.0725591330494061,587476.9516276335,15579050.0
Conterminous U.S.,2020,Non-WUI,0.9063175205856302,7338023.92371223,95641709.0
Conterminous U.S.,2020,WUI Total,0.0936824794143697,758502.687591344,43969761.0
Delaware,1990,Interface WUI,0.0386158277067603,248.914206196832,11946.0
Delaware,1990,Intermix WUI,0.0734614741258137,473.526157640144,17294.0
Delaware,1990,Non-WUI,0.8879226981674258,5723.47109213462,260679.0
Delaware,1990,WUI Total,0.1120773018325741,722.440363836976,29240.0
Delaware,2000,Interface WUI,0.040742840447293,262.62474198802903,14893.0
Delaware,2000,Intermix WUI,0.0940211847838948,606.052232102529,19035.0
Delaware,2000,Non-WUI,0.865235974768812,5577.23448188103,309144.0
Delaware,2000,WUI Total,0.1347640252311878,868.6769740905581,33928.0
Delaware,2010,Interface WUI,0.0472688948432907,304.691110781484,18361.0
Delaware,2010,Intermix WUI,0.1060099295003824,683.330619013256,22827.0
Delaware,2010,Non-WUI,0.8467211756563267,5457.889726176851,364697.0
Delaware,2010,WUI Total,0.1532788243436731,988.02172979474,41188.0
Delaware,2020,Interface WUI,0.0477213152636345,307.607372751894,21071.0
Delaware,2020,Intermix WUI,0.1071679953923381,690.795409212983,23279.0
Delaware,2020,Non-WUI,0.8451106893440272,5447.50867400671,404385.0
Delaware,2020,WUI Total,0.1548893106559727,998.402781964877,44350.0
District of Columbia,1990,Interface WUI,0.0,0.0,0.0
District of Columbia,1990,Intermix WUI,0.0475358758180789,8.41507969077913,4019.0
District of Columbia,1990,Non-WUI,0.9524641241819212,168.61078858151,274470.0
District of Columbia,1990,WUI Total,0.0475358758180789,8.41507969077913,4019.0
District of Columbia,2000,Interface WUI,0.0,0.0,0.0
District of Columbia,2000,Intermix WUI,0.0287337368451747,5.08661471372454,1654.0
District of Columbia,2000,Non-WUI,0.9712662631548252,171.939253558565,273191.0
District of Columbia,2000,WUI Total,0.0287337368451747,5.08661471372454,1654.0
District of Columbia,2010,Interface WUI,0.0,0.0,0.0
District of Columbia,2010,Intermix WUI,0.0228465268607182,4.04442625452482,1167.0
District of Columbia,2010,Non-WUI,0.9771534731392818,172.981442017764,295552.0
District of Columbia,2010,WUI Total,0.0228465268607182,4.04442625452482,1167.0
District of Columbia,2020,Interface WUI,0.0,0.0,0.0
District of Columbia,2020,Intermix WUI,0.0177597685477952,3.14393844748835,980.0
District of Columbia,2020,Non-WUI,0.9822402314522048,173.881929824801,349384.0
District of Columbia,2020,WUI Total,0.0177597685477952,3.14393844748835,980.0
Florida,1990,Interface WUI,0.0244406477577305,4519.91430460218,831922.0
Florida,1990,Intermix WUI,0.0714442401628242,13212.4911865825,498341.0
Florida,1990,Non-WUI,0.9041151120794452,167201.903509383,4769999.0
Florida,1990,WUI Total,0.0958848879205548,17732.40549118468,1330263.0
Florida,2000,Interface WUI,0.0364844058652125,6747.21838797933,1221224.0
Florida,2000,Intermix WUI,0.0761007392510587,14073.6376278269,475204.0
Florida,2000,Non-WUI,0.8874148548837286,164113.45298476098,5606519.0
Florida,2000,WUI Total,0.1125851451162713,20820.856015806232,1696428.0
Florida,2010,Interface WUI,0.041722401499478,7715.90349115028,1734193.0
Florida,2010,Intermix WUI,0.0875818026845357,16196.8801604888,559853.0
Florida,2010,Non-WUI,0.8706957958159863,161021.52534892998,6695534.0
Florida,2010,WUI Total,0.1293042041840138,23912.78365163908,2294046.0
Florida,2020,Interface WUI,0.0439243146066766,8123.11277010943,1973298.0
Florida,2020,Intermix WUI,0.0897529499119445,16598.3997727283,613415.0
Florida,2020,Non-WUI,0.8663227354813787,160212.796457733,7278637.0
Florida,2020,WUI Total,0.1336772645186212,24721.51254283773,2586713.0
Georgia,1990,Interface WUI,0.0323536582835267,4979.389481364859,494072.0
Georgia,1990,Intermix WUI,0.1559351132399724,23999.1921728957,671552.0
Georgia,1990,Non-WUI,0.8117112284765007,124926.40917332,1472794.0
Georgia,1990,WUI Total,0.1882887715234992,28978.58165426056,1165624.0
Georgia,2000,Interface WUI,0.0472661313669169,7274.4935144805295,674758.0
Georgia,2000,Intermix WUI,0.1818852003048868,27993.0400845961,774253.0
Georgia,2000,Non-WUI,0.7708486683281961,118637.457228503,1832726.0
