STATE,Year,WUI_Type,%AREA,AREA_KM,HOUSING
Maryland,2010,WUI Total,0.2559241082657858,8223.11535791799,616315.0
Maryland,2020,Interface WUI,0.0731803126381034,2351.36172527626,416329.0
Maryland,2020,Intermix WUI,0.1830609948628681,5881.94558337292,240977.0
Maryland,2020,Non-WUI,0.7437586924990284,23897.7623808776,1873538.0
Maryland,2020,WUI Total,0.2562413075009715,8233.307308649177,657306.0
Massachusetts,1990,Interface WUI,0.0789045247037041,2156.85921932258,610148.0
Massachusetts,1990,Intermix WUI,0.3051467341029605,8341.20158720441,370713.0
Massachusetts,1990,Non-WUI,0.6159487411933353,16836.9903508286,1491850.0
Massachusetts,1990,WUI Total,0.3840512588066646,10498.06080652699,980861.0
Massachusetts,2000,Interface WUI,0.080636724327715,2204.20898465967,658880.0
Massachusetts,2000,Intermix WUI,0.3214676404091539,8787.33439601861,417939.0
Massachusetts,2000,Non-WUI,0.597895635263131,16343.5077766773,1545170.0
Massachusetts,2000,WUI Total,0.402104364736869,10991.54338067828,1076819.0
Massachusetts,2010,Interface WUI,0.0905716611841244,2475.7809918747203,727207.0
Massachusetts,2010,Intermix WUI,0.324747629382448,8876.99306239917,430724.0
Massachusetts,2010,Non-WUI,0.5846807094334274,15982.2771030817,1650323.0
Massachusetts,2010,WUI Total,0.4153192905665724,11352.77405427389,1157931.0
Massachusetts,2020,Interface WUI,0.0925236433330787,2529.13852377463,769970.0
Massachusetts,2020,Intermix WUI,0.3261827522481144,8916.22221934925,455624.0
Massachusetts,2020,Non-WUI,0.5812936044188067,15889.690414231702,1772943.0
Massachusetts,2020,WUI Total,0.4187063955811932,11445.360743123882,1225594.0
Michigan,1990,Interface WUI,0.0204732089778598,5128.26486707193,373516.0
Michigan,1990,Intermix WUI,0.071518071328964,17914.3197802404,433921.0
Michigan,1990,Non-WUI,0.908008719693176,227444.03289357905,3040489.0
Michigan,1990,WUI Total,0.0919912803068239,23042.584647312327,807437.0
Michigan,2000,Interface WUI,0.0228523604797805,5724.2104794054,443660.0
Michigan,2000,Intermix WUI,0.0881467916921426,22079.5916980465,522984.0
Michigan,2000,Non-WUI,0.8890008478280766,222682.815363441,3267635.0
Michigan,2000,WUI Total,0.1109991521719232,27803.8021774519,966644.0
Michigan,2010,Interface WUI,0.0251089021918619,6289.44398020461,481157.0
Michigan,2010,Intermix WUI,0.0961884503595104,24093.9195770538,584544.0
Michigan,2010,Non-WUI,0.8787026474486275,220103.253983634,3466532.0
Michigan,2010,WUI Total,0.1212973525513724,30383.36355725841,1065701.0
Michigan,2020,Interface WUI,0.0249028370934327,6237.82743070586,485189.0
Michigan,2020,Intermix WUI,0.0936016511372603,23445.960989615003,578918.0
Michigan,2020,Non-WUI,0.8814955117693068,220802.829120572,3506066.0
Michigan,2020,WUI Total,0.1185044882306931,29683.788420320863,1064107.0
Minnesota,1990,Interface WUI,0.004523359589376,1018.57936029608,152651.0
Minnesota,1990,Intermix WUI,0.0306459804670133,6900.9245369419605,183353.0
Minnesota,1990,Non-WUI,0.9648306599436108,217262.540592086,1512441.0
Minnesota,1990,WUI Total,0.0351693400563893,7919.50389723804,336004.0
Minnesota,2000,Interface WUI,0.005578069057491,1256.08099466848,184032.0
Minnesota,2000,Intermix WUI,0.0342236883091883,7706.5601034284,185430.0
Minnesota,2000,Non-WUI,0.9601982426333204,216219.40339122695,1696484.0
Minnesota,2000,WUI Total,0.0398017573666794,8962.64109809688,369462.0
Minnesota,2010,Interface WUI,0.0063599862395799,1432.15470435258,210740.0
Minnesota,2010,Intermix WUI,0.0396881163092347,8937.05117244353,218323.0
Minnesota,2010,Non-WUI,0.9539518974511852,214812.838612527,1918138.0
Minnesota,2010,WUI Total,0.0460481025488147,10369.20587679611,429063.0
Minnesota,2020,Interface WUI,0.0064355568385943,1449.17184634192,220343.0
Minnesota,2020,Intermix WUI,0.0397829543358833,8958.4069931796,219894.0
Minnesota,2020,Non-WUI,0.9537814888255224,214774.465649802,2045321.0
Minnesota,2020,WUI Total,0.0462185111744776,10407.57883952152,440237.0
Mississippi,1990,Interface WUI,0.0250477407072183,3142.19608971973,259390.0
Mississippi,1990,Intermix WUI,0.1097064296294509,13762.4833404408,240714.0
Mississippi,1990,Non-WUI,0.8652458296633307,108543.604566735,510319.0
Mississippi,1990,WUI Total,0.1347541703366693,16904.67943016053,500104.0
Mississippi,2000,Interface WUI,0.0372866635245087,4677.54795511925,327214.0
Mississippi,2000,Intermix WUI,0.1326622292574369,16642.2490115482,276928.0
Mississippi,2000,Non-WUI,0.8300511072180544,104128.487030228,557811.0
Mississippi,2000,WUI Total,0.1699488927819456,21319.796966667447,604142.0
Mississippi,2010,Interface WUI,0.0347792101049777,4362.99222643697,356152.0
Mississippi,2010,Intermix WUI,0.1585970894881063,19895.7327231851,341111.0
Mississippi,2010,Non-WUI,0.8066237004069158,101189.559047274,577456.0
Mississippi,2010,WUI Total,0.193376299593084,24258.724949622072,697263.0
Mississippi,2020,Interface WUI,0.0357314323347595,4482.44687114678,371447.0
Mississippi,2020,Intermix WUI,0.161733880486863,20289.237771236,354301.0
Mississippi,2020,Non-WUI,0.8025346871783773,100676.599354513,594197.0
Mississippi,2020,WUI Total,0.1974653128216226,24771.68464238278,725748.0
Missouri,1990,Interface WUI,0.009850387573455,1778.38686111003,149997.0
Missouri,1990,Intermix WUI,0.0472123498961894,8523.70753043002,217425.0
Missouri,1990,Non-WUI,0.9429372625303556,170237.69126140798,1831707.0
Missouri,1990,WUI Total,0.0570627374696444,10302.094391540048,367422.0
Missouri,2000,Interface WUI,0.0139398698592244,2516.70111641438,203189.0
Missouri,2000,Intermix WUI,0.0579097085941016,10455.0063768038,237763.0
Missouri,2000,Non-WUI,0.9281504215466738,167568.07815973,2001065.0
Missouri,2000,WUI Total,0.0718495784533261,12971.70749321818,440952.0
Missouri,2010,Interface WUI,0.015704982864465,2835.37424003373,239341.0
Missouri,2010,Intermix WUI,0.0678774824475291,12254.5861317386,277560.0
Missouri,2010,Non-WUI,0.916417534688006,165449.825281175,2195828.0
Missouri,2010,WUI Total,0.0835824653119941,15089.960371772331,516901.0
Missouri,2020,Interface WUI,0.0152726454994855,2757.3201448305804,245593.0
Missouri,2020,Intermix WUI,0.0656003619813447,11843.4752908678,273392.0
Missouri,2020,Non-WUI,0.9191269925191696,165938.99021725,2267636.0
Missouri,2020,WUI Total,0.0808730074808302,14600.79543569838,518985.0
Montana,1990,Interface WUI,0.0029516840948123,1124.1204499335302,174420.0
Montana,1990,Intermix WUI,0.0054664320606686,2081.83798475246,46220.0
Montana,1990,Non-WUI,0.991581883844519,377634.40720919,140515.0
Montana,1990,WUI Total,0.0084181161554809,3205.95843468599,220640.0
Montana,2000,Interface WUI,0.0035318207457007,1345.0599041813,195414.0
Montana,2000,Intermix WUI,0.0076457245350101,2911.80052752563,61766.0
Montana,2000,Non-WUI,0.988822454719289,376583.505212169,155453.0
Montana,2000,WUI Total,0.0111775452807109,4256.86043170693,257180.0
Montana,2010,Interface WUI,0.0040894286901214,1557.41951762042,223078.0
Montana,2010,Intermix WUI,0.0098500633298105,3751.30172014039,81101.0
Montana,2010,Non-WUI,0.986060507980068,375531.644406114,178646.0
Montana,2010,WUI Total,0.013939492019932,5308.72123776081,304179.0
Montana,2020,Interface WUI,0.004524638108422,1723.16483161765,238619.0
Montana,2020,Intermix WUI,0.0103976151126355,3959.8315413204,83197.0
Montana,2020,Non-WUI,0.9850777467789424,375157.369270938,192987.0
Montana,2020,WUI Total,0.0149222532210575,5682.996372938051,321816.0
Nebraska,1990,Interface WUI,0.0015568762589198,311.88668802106,69436.0
Nebraska,1990,Intermix WUI,0.0035197131964839,705.0988704760799,24555.0
Nebraska,1990,Non-WUI,0.9949234105445964,199311.515974085,566630.0
Nebraska,1990,WUI Total,0.0050765894554037,1016.98555849714,93991.0
Nebraska,2000,Interface WUI,0.0016942825401167,339.413082434407,72877.0
Nebraska,2000,Intermix WUI,0.0040530700336281,811.945446443333,24905.0
Nebraska,2000,Non-WUI,0.994252647426255,199177.143003705,624886.0
Nebraska,2000,WUI Total,0.0057473525737448,1151.35852887774,97782.0
Nebraska,2010,Interface WUI,0.0017504138182773,350.657777277437,75112.0
Nebraska,2010,Intermix WUI,0.004166413364576,834.651346090852,24893.0
Nebraska,2010,Non-WUI,0.9940831728171464,199143.192409214,696788.0
Nebraska,2010,WUI Total,0.0059168271828534,1185.309123368289,100005.0
Nebraska,2020,Interface WUI,0.001831379295717,366.877470048802,74250.0
Nebraska,2020,Intermix WUI,0.0041439977459871,830.160858808004,25060.0
Nebraska,2020,Non-WUI,0.9940246229582956,199131.463203726,744968.0
Nebraska,2020,WUI Total,0.0059753770417042,1197.038328856806,99310.0
Nevada,1990,Interface WUI,0.0021389593635567,612.548652348638,144758.0
Nevada,1990,Intermix WUI,0.0031809196586502,910.942060580084,40644.0
Nevada,1990,Non-WUI,0.994680120977793,284853.456313336,333456.0
Nevada,1990,WUI Total,0.005319879022207,1523.490712928722,185402.0
Nevada,2000,Interface WUI,0.0031274895408473,895.640906564448,244490.0
Nevada,2000,Intermix WUI,0.0042320901241497,1211.97304929402,43470.0
Nevada,2000,Non-WUI,0.9926404203350028,284269.333070406,539497.0
Nevada,2000,WUI Total,0.0073595796649971,2107.613955858468,287960.0
Nevada,2010,Interface WUI,0.0037964373578758,1087.21214012494,437036.0
Nevada,2010,Intermix WUI,0.0046918862165993,1343.6480505043198,53163.0
Nevada,2010,Non-WUI,0.9915116764255248,283946.086835634,683615.0
Nevada,2010,WUI Total,0.0084883235744751,2430.86019062926,490199.0
Nevada,2020,Interface WUI,0.0039505688802391,1131.35185493986,515881.0
Nevada,2020,Intermix WUI,0.0049715902286592,1423.74883154905,55132.0
Nevada,2020,Non-WUI,0.9910778408911016,283821.846339774,710005.0
Nevada,2020,WUI Total,0.0089221591088984,2555.10068648891,571013.0
New Hampshire,1990,Interface WUI,0.0356541359882677,863.4037138773318,162228.0
New Hampshire,1990,Intermix WUI,0.3085686546005642,7472.32586020107,211514.0
New Hampshire,1990,Non-WUI,0.655777209411168,15880.3589650308,130162.0
New Hampshire,1990,WUI Total,0.344222790588832,8335.729574078403,373742.0
New Hampshire,2000,Interface WUI,0.0363627387577045,880.563301281069,180524.0
New Hampshire,2000,Intermix WUI,0.3367963175819641,8155.88944621076,234064.0
New Hampshire,2000,Non-WUI,0.6268409436603312,15179.6357916173,132436.0
New Hampshire,2000,WUI Total,0.3731590563396686,9036.452747491827,414588.0
New Hampshire,2010,Interface WUI,0.0403341870388527,976.73624448585,205526.0
New Hampshire,2010,Intermix WUI,0.3738453033242044,9053.07096522908,270656.0
New Hampshire,2010,Non-WUI,0.5858205096369428,14186.2813293943,138572.0
New Hampshire,2010,WUI Total,0.4141794903630571,10029.807209714932,476182.0
New Hampshire,2020,Interface WUI,0.0408720442907063,989.7610433181402,212521.0
New Hampshire,2020,Intermix WUI,0.3792855502198065,9184.8124657276,281220.0
New Hampshire,2020,Non-WUI,0.579842405489487,14041.5150300635,145054.0
New Hampshire,2020,WUI Total,0.420157594510513,10174.57350904574,493741.0
New Jersey,1990,Interface WUI,0.0959185343555608,2166.03243989898,453999.0
New Jersey,1990,Intermix WUI,0.1950424466968169,4404.448728715181,262715.0
New Jersey,1990,Non-WUI,0.7090390189476222,16011.5198435125,2358596.0
New Jersey,1990,WUI Total,0.2909609810523777,6570.48116861416,716714.0
New Jersey,2000,Interface WUI,0.0967280054815554,2184.3119176854702,530668.0
New Jersey,2000,Intermix WUI,0.2025446822122514,4573.86421871792,243726.0
New Jersey,2000,Non-WUI,0.7007273123061932,15823.8248757232,2535881.0
New Jersey,2000,WUI Total,0.2992726876938068,6758.17613640339,774394.0
New Jersey,2010,Interface WUI,0.1032304144959445,2331.14932462968,594378.0
New Jersey,2010,Intermix WUI,0.2004858812514088,4527.3723733364295,255491.0
New Jersey,2010,Non-WUI,0.6962837042526465,15723.4793141606,2703693.0
New Jersey,2010,WUI Total,0.3037162957473533,6858.521697966109,849869.0
New Jersey,2020,Interface WUI,0.1042686958439063,2354.5957950802203,623527.0
New Jersey,2020,Intermix WUI,0.2004195896240341,4525.87537573995,260587.0
New Jersey,2020,Non-WUI,0.6953117145320596,15701.5298413065,2877115.0
New Jersey,2020,WUI Total,0.3046882854679404,6880.47117082017,884114.0
New Mexico,1990,Interface WUI,0.003743002114767,1178.76521978677,252167.0
New Mexico,1990,Intermix WUI,0.0118067359369406,3718.23719435387,142603.0
New Mexico,1990,Non-WUI,0.9844502619482924,310028.072069853,237288.0
New Mexico,1990,WUI Total,0.0155497380517077,4897.00241414064,394770.0
New Mexico,2000,Interface WUI,0.0044420632527834,1398.91710074544,345148.0
New Mexico,2000,Intermix WUI,0.0151023243530447,4756.10062176405,168693.0
New Mexico,2000,Non-WUI,0.9804556123941716,308770.056761484,266738.0
New Mexico,2000,WUI Total,0.0195443876058282,6155.017722509489,513841.0
New Mexico,2010,Interface WUI,0.0050975406345992,1605.34336403636,427578.0
New Mexico,2010,Intermix WUI,0.0164000179874499,5164.77688623653,181340.0
New Mexico,2010,Non-WUI,0.9785024413779508,308154.954233722,292470.0
New Mexico,2010,WUI Total,0.0214975586220491,6770.12025027289,608918.0
New Mexico,2020,Interface WUI,0.0053244162329702,1676.79217875196,456535.0
New Mexico,2020,Intermix WUI,0.0164376492914884,5176.62792746379,183558.0
New Mexico,2020,Non-WUI,0.9782379344755412,308071.65437778004,300766.0
New Mexico,2020,WUI Total,0.0217620655244586,6853.42010621575,640093.0
New York,1990,Interface WUI,0.0469380537029867,6632.6404699477,728894.0
New York,1990,Intermix WUI,0.1795724217540098,25374.7059762807,687674.0
New York,1990,Non-WUI,0.7734895245430033,109298.906086472,5810323.0
New York,1990,WUI Total,0.2265104754569966,32007.3464462284,1416568.0
New York,2000,Interface WUI,0.0504002791613167,7121.87457488754,810841.0
New York,2000,Intermix WUI,0.2017670668361808,28510.9480991353,717464.0
New York,2000,Non-WUI,0.7478326540025023,105673.429858676,6151002.0
New York,2000,WUI Total,0.2521673459974975,35632.82267402284,1528305.0
New York,2010,Interface WUI,0.053246879963721,7524.117066731868,876983.0
New York,2010,Intermix WUI,0.2225094522871456,31441.9768557999,777996.0
New York,2010,Non-WUI,0.7242436677491331,102340.158610167,6453124.0
New York,2010,WUI Total,0.2757563322508667,38966.09392253177,1654979.0
New York,2020,Interface WUI,0.0537768492125052,7599.00503523517,906284.0
New York,2020,Intermix WUI,0.2186037309346743,30890.0740080454,779738.0
New York,2020,Non-WUI,0.7276194198528205,102817.173489419,6802044.0
New York,2020,WUI Total,0.2723805801471795,38489.079043280566,1686022.0
North Carolina,1990,Interface WUI,0.0444012198504565,6189.06073041991,495435.0
North Carolina,1990,Intermix WUI,0.2551178883105845,35560.7370583188,788751.0
North Carolina,1990,Non-WUI,0.7004808918389589,97639.6323049543,1534007.0
North Carolina,1990,WUI Total,0.299519108161041,41749.79778873871,1284186.0
North Carolina,2000,Interface WUI,0.0574949173196593,8014.1837584713,686635.0
North Carolina,2000,Intermix WUI,0.2821271032716393,39325.5361390182,905560.0
North Carolina,2000,Non-WUI,0.6603779794087012,92049.7101962032,1931749.0
North Carolina,2000,WUI Total,0.3396220205912987,47339.7198974895,1592195.0
North Carolina,2010,Interface WUI,0.0615110823602104,8573.99471463593,891790.0
North Carolina,2010,Intermix WUI,0.3117892569922701,43460.1268414884,1081031.0
North Carolina,2010,Non-WUI,0.6266996606475194,87355.3085375683,2354707.0
North Carolina,2010,WUI Total,0.3733003393524806,52034.12155612433,1972821.0
North Carolina,2020,Interface WUI,0.0617006533829713,8600.41891146086,992402.0
North Carolina,2020,Intermix WUI,0.3100036397624452,43211.2306734577,1121451.0
North Carolina,2020,Non-WUI,0.6282957068545834,87577.7805087743,2594857.0
North Carolina,2020,WUI Total,0.3717042931454165,51811.64958491856,2113853.0
North Dakota,1990,Interface WUI,0.0008266029983573,151.35852106227202,26268.0
North Dakota,1990,Intermix WUI,0.0017049105306428,312.184612171021,8845.0
North Dakota,1990,Non-WUI,0.9974684864709996,182645.544739729,241227.0
North Dakota,1990,WUI Total,0.0025315135290002,463.543133233293,35113.0
North Dakota,2000,Interface WUI,0.000802220534231,146.893870296007,28082.0
North Dakota,2000,Intermix WUI,0.0022667427538279,415.061198096089,11190.0
North Dakota,2000,Non-WUI,0.9969310367119408,182547.13280457,250405.0
North Dakota,2000,WUI Total,0.003068963288059,561.955068392096,39272.0
North Dakota,2010,Interface WUI,0.0010351983943475,189.554233756528,33496.0
North Dakota,2010,Intermix WUI,0.0023845411642314,436.631157577959,12071.0
North Dakota,2010,Non-WUI,0.996580260441421,182482.902481628,271931.0
North Dakota,2010,WUI Total,0.0034197395585789,626.185391334487,45567.0
North Dakota,2020,Interface WUI,0.0013817507477936,253.01111909628,44555.0
North Dakota,2020,Intermix WUI,0.0025942297070413,475.027035389285,12676.0
North Dakota,2020,Non-WUI,0.996024019545165,182381.049718476,313411.0
North Dakota,2020,WUI Total,0.003975980454835,728.038154485565,57231.0
Ohio,1990,Interface WUI,0.0332160659753778,3856.33015537115,368800.0
Ohio,1990,Intermix WUI,0.1024159715945263,11890.3243973676,306258.0
Ohio,1990,Non-WUI,0.8643679624300957,100351.686479873,3696887.0
Ohio,1990,WUI Total,0.1356320375699042,15746.65455273875,675058.0
Ohio,2000,Interface WUI,0.0378249078963006,4391.40905647186,414764.0
Ohio,2000,Intermix WUI,0.1184101010407985,13747.2162923407,322787.0
Ohio,2000,Non-WUI,0.8437649910629007,97959.7156837996,4045500.0
Ohio,2000,WUI Total,0.1562350089370992,18138.62534881256,737551.0
Ohio,2010,Interface WUI,0.0402717099064908,4675.4787106902,439913.0
Ohio,2010,Intermix WUI,0.1331356714709338,15456.8305900383,350337.0
Ohio,2010,Non-WUI,0.8265926186225753,95966.0317318837,4337258.0
Ohio,2010,WUI Total,0.1734073813774247,20132.3093007285,790250.0
Ohio,2020,Interface WUI,0.0398091124938352,4621.7719185149,441323.0
Ohio,2020,Intermix WUI,0.1305728370482456,15159.2897652229,346389.0
Ohio,2020,Non-WUI,0.829618050457919,96317.2793488742,4454812.0
Ohio,2020,WUI Total,0.1703819495420809,19781.0616837378,787712.0
Oklahoma,1990,Interface WUI,0.0137782900476834,2494.39254660819,319485.0
Oklahoma,1990,Intermix WUI,0.0420681119226381,7615.92218385261,183547.0
Oklahoma,1990,Non-WUI,0.9441535980296784,170927.57443979802,903467.0
Oklahoma,1990,WUI Total,0.0558464019703215,10110.3147304608,503032.0
Oklahoma,2000,Interface WUI,0.014981213067852,2712.16719101382,347283.0
Oklahoma,2000,Intermix WUI,0.0501152835829268,9072.76515502194,205646.0
Oklahoma,2000,Non-WUI,0.9349035033492212,169252.956824222,961471.0
Oklahoma,2000,WUI Total,0.0650964966507788,11784.93234603576,552929.0
Oklahoma,2010,Interface WUI,0.0167519413916606,3032.73610905011,387965.0
Oklahoma,2010,Intermix WUI,0.0587155735541605,10629.7434976662,235607.0
Oklahoma,2010,Non-WUI,0.9245324850541788,167375.40956354098,1040806.0
Oklahoma,2010,WUI Total,0.0754675149458211,13662.479606716312,623572.0
Oklahoma,2020,Interface WUI,0.016906948086572,3060.79819390412,402467.0
Oklahoma,2020,Intermix WUI,0.0589576783500914,10673.5736388795,249165.0
Oklahoma,2020,Non-WUI,0.9241353735633364,167303.517337473,1095175.0
Oklahoma,2020,WUI Total,0.0758646264366635,13734.37183278362,651632.0
Oregon,1990,Interface WUI,0.0093230172714881,2375.49925206744,275786.0
Oregon,1990,Intermix WUI,0.020730073021106,5282.01026802132,130124.0
Oregon,1990,Non-WUI,0.9699469097074058,247141.895317681,787657.0
Oregon,1990,WUI Total,0.0300530902925942,7657.509520088762,405910.0
Oregon,2000,Interface WUI,0.0105378743305124,2685.04410766978,351646.0
Oregon,2000,Intermix WUI,0.0219748983137985,5599.19101172637,127578.0
Oregon,2000,Non-WUI,0.9674872273556888,246515.16971837296,973485.0
Oregon,2000,WUI Total,0.032512772644311,8284.23511939615,479224.0
Oregon,2010,Interface WUI,0.0110432609627169,2813.81632076844,415472.0
Oregon,2010,Intermix WUI,0.0254380911767581,6481.6104920468715,147827.0
Oregon,2010,Non-WUI,0.9635186478605248,245503.97802495304,1112263.0
Oregon,2010,WUI Total,0.0364813521394751,9295.42681281531,563299.0
Oregon,2020,Interface WUI,0.0113720120750133,2897.58190852132,447139.0
Oregon,2020,Intermix WUI,0.0263043613127779,6702.335607133449,154315.0
Oregon,2020,Non-WUI,0.9623236266122088,245199.487322114,1212293.0
Oregon,2020,WUI Total,0.0376763733877912,9599.917515654768,601454.0
Pennsylvania,1990,Interface WUI,0.0811310435843917,9677.28645319642,1074393.0
Pennsylvania,1990,Intermix WUI,0.2203974536356346,26288.941916155,657434.0
Pennsylvania,1990,Non-WUI,0.6984715027799736,83313.470567717,3206313.0
Pennsylvania,1990,WUI Total,0.3015284972200263,35966.22836935142,1731827.0
Pennsylvania,2000,Interface WUI,0.0846636205010597,10098.6511642887,1151279.0
Pennsylvania,2000,Intermix WUI,0.2456653589376778,29302.890053353294,717449.0
Pennsylvania,2000,Non-WUI,0.6696710205612624,79878.1577194274,3381022.0
Pennsylvania,2000,WUI Total,0.3303289794387375,39401.541217642,1868728.0
Pennsylvania,2010,Interface WUI,0.0886811104680965,10577.8561580395,1207206.0
Pennsylvania,2010,Intermix WUI,0.2597189439426396,30979.1974417315,765085.0
Pennsylvania,2010,Non-WUI,0.6515999455892638,77722.6453372978,3595024.0
Pennsylvania,2010,WUI Total,0.3484000544107361,41557.053599771,1972291.0
Pennsylvania,2020,Interface WUI,0.0885327623522384,10560.1612394421,1220446.0
Pennsylvania,2020,Intermix WUI,0.2498205883271501,29798.524563944,747307.0
Pennsylvania,2020,Non-WUI,0.6616466493206113,78921.0131336832,3775075.0
Pennsylvania,2020,WUI Total,0.3383533506793885,40358.6858033861,1967753.0
Rhode Island,1990,Interface WUI,0.0693848745500443,277.640433289064,68633.0
Rhode Island,1990,Intermix WUI,0.281373684036442,1125.90405414184,42734.0
Rhode Island,1990,Non-WUI,0.6492414414135135,2597.91022571142,303205.0
Rhode Island,1990,WUI Total,0.3507585585864863,1403.544487430904,111367.0
Rhode Island,2000,Interface WUI,0.0660240548224039,264.192265349875,75990.0
Rhode Island,2000,Intermix WUI,0.3032031167194993,1213.2535404366802,50603.0
Rhode Island,2000,Non-WUI,0.6307728284580966,2524.00890735576,313244.0
Rhode Island,2000,WUI Total,0.3692271715419033,1477.4458057865552,126593.0
Rhode Island,2010,Interface WUI,0.0734534153104394,293.920514890357,86677.0
Rhode Island,2010,Intermix WUI,0.3067910402975642,1227.61045414852,52393.0
Rhode Island,2010,Non-WUI,0.6197555443919963,2479.9237441034297,324318.0
Rhode Island,2010,WUI Total,0.3802444556080036,1521.5309690388767,139070.0
Rhode Island,2020,Interface WUI,0.0755765699544838,302.416222047498,91340.0
Rhode Island,2020,Intermix WUI,0.30830647611502,1233.67440194274,54257.0
Rhode Island,2020,Non-WUI,0.6161169539304961,2465.36408915206,337877.0
Rhode Island,2020,WUI Total,0.3838830460695038,1536.090623990238,145597.0
South Carolina,1990,Interface WUI,0.036777834565784,3050.37006783111,347476.0
South Carolina,1990,Intermix WUI,0.2066057154057078,17135.970552837498,434303.0
South Carolina,1990,Non-WUI,0.756616450028508,62754.1071747271,642376.0
South Carolina,1990,WUI Total,0.2433835499714919,20186.34062066861,781779.0
South Carolina,2000,Interface WUI,0.0567179121906977,4704.209035116371,487940.0
South Carolina,2000,Intermix WUI,0.2393611156664244,19852.7181181786,478832.0
South Carolina,2000,Non-WUI,0.7039209721428777,58383.5206421001,786898.0
South Carolina,2000,WUI Total,0.2960790278571222,24556.927153294968,966772.0
South Carolina,2010,Interface WUI,0.0610916495979626,5066.968774214421,623345.0
South Carolina,2010,Intermix WUI,0.2615630036765748,21694.1526516438,561574.0
South Carolina,2010,Non-WUI,0.6773453467254625,56179.3263695373,952764.0
South Carolina,2010,WUI Total,0.3226546532745374,26761.121425858215,1184919.0
South Carolina,2020,Interface WUI,0.0617364447802898,5120.448375372949,713289.0
South Carolina,2020,Intermix WUI,0.2617886029191573,21712.863953845903,599335.0
South Carolina,2020,Non-WUI,0.6764749523005527,56107.135466176696,1032339.0
South Carolina,2020,WUI Total,0.3235250476994471,26833.31232921885,1312624.0
South Dakota,1990,Interface WUI,0.0010641030692563,212.532959026427,53182.0
South Dakota,1990,Intermix WUI,0.0035048456653356,700.021681833222,19084.0
South Dakota,1990,Non-WUI,0.995431051265408,198817.119266533,220170.0
South Dakota,1990,WUI Total,0.0045689487345919,912.554640859649,72266.0
South Dakota,2000,Interface WUI,0.0010080547589088,201.33844827766495,58523.0
South Dakota,2000,Intermix WUI,0.0043973630091698,878.283879873923,23097.0
South Dakota,2000,Non-WUI,0.9945945822319212,198650.051579241,241588.0
South Dakota,2000,WUI Total,0.0054054177680787,1079.622328151588,81620.0
South Dakota,2010,Interface WUI,0.0012255698974671,244.782675971838,66704.0
South Dakota,2010,Intermix WUI,0.0054242354101922,1083.3807696746298,28195.0
South Dakota,2010,Non-WUI,0.9933501946923404,198401.510461746,268539.0
South Dakota,2010,WUI Total,0.0066498053076594,1328.1634456464678,94899.0
South Dakota,2020,Interface WUI,0.0013687254592593,273.375089646616,71180.0
South Dakota,2020,Intermix WUI,0.0059158220787782,1181.56521468854,30767.0
South Dakota,2020,Non-WUI,0.9927154524619624,198274.733603057,291428.0
South Dakota,2020,WUI Total,0.0072845475380376,1454.940304335156,101947.0
Tennessee,1990,Interface WUI,0.0412187712574228,4497.56834293196,286124.0
Tennessee,1990,Intermix WUI,0.1502403183297527,16393.4071525781,352592.0
Tennessee,1990,Non-WUI,0.8085409104128243,88223.5906530871,1387351.0
Tennessee,1990,WUI Total,0.1914590895871755,20890.975495510054,638716.0
Tennessee,2000,Interface WUI,0.0595874125253183,6501.85466561762,393777.0
Tennessee,2000,Intermix WUI,0.1724901099222424,18821.1835090894,374745.0
Tennessee,2000,Non-WUI,0.7679224775524393,83791.5279738906,1670921.0
Tennessee,2000,WUI Total,0.2320775224475608,25323.03817470702,768522.0
Tennessee,2010,Interface WUI,0.0631953661874736,6895.53496414795,445689.0
Tennessee,2010,Intermix WUI,0.2007066816146016,21900.022487502,444549.0
Tennessee,2010,Non-WUI,0.7360979521979247,80319.0086969478,1921895.0
Tennessee,2010,WUI Total,0.2639020478020752,28795.557451649947,890238.0
Tennessee,2020,Interface WUI,0.0639064891288435,6973.12883537384,468320.0
Tennessee,2020,Intermix WUI,0.2065796004065254,22540.843473508703,458818.0
Tennessee,2020,Non-WUI,0.7295139104646311,79600.59383971518,2104467.0
Tennessee,2020,WUI Total,0.2704860895353689,29513.97230888254,927138.0
Texas,1990,Interface WUI,0.0081549694275843,5673.08580784839,1016021.0
Texas,1990,Intermix WUI,0.0359055041312859,24978.022017083,731680.0
Texas,1990,Non-WUI,0.9559395264411296,665008.8646893831,5261298.0
Texas,1990,WUI Total,0.0440604735588703,30651.10782493139,1747701.0
Texas,2000,Interface WUI,0.0120331153842902,8370.95671749695,1344363.0
Texas,2000,Intermix WUI,0.0399981455274973,27825.1088182824,739144.0
Texas,2000,Non-WUI,0.9479687390882124,659463.906978537,6074068.0
Texas,2000,WUI Total,0.0520312609117875,36196.06553577935,2083507.0
Texas,2010,Interface WUI,0.0136565633714136,9500.32449959783,1768111.0
Texas,2010,Intermix WUI,0.0469267495521945,32645.0613036664,870453.0
Texas,2010,Non-WUI,0.9394166870763918,653514.586711064,7338872.0
Texas,2010,WUI Total,0.0605833129236082,42145.38580326423,2638564.0
Texas,2020,Interface WUI,0.0152265873413044,10592.5273313388,2190000.0
Texas,2020,Intermix WUI,0.0504099255573221,35068.1674276559,983293.0
